answer,comprehension,question,sentence,subject_nr
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,22
NO,A,Miguel tuvo que esperar una semana.,Miguel recibió a la invitada en la casa en un día.,22
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,22
SI,A,La acción tuvo lugar en la calle.,Juan golpeó la actriz en la calle en diez segundos.,22
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,22
SI,A,Martin estaba en el hospital.,Martín buscó la médica en el hospital durante dos horas.,22
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó a una oponente en el bar en diez minutos.,22
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,22
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,23
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,23
NO,E,El beso tuvo lugar en un museo.,Francisco besó a la novia en la iglesia durante unos segundos.,23
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,23
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,23
NO,E,La guerra duró más de dos años.,Valentina venció una adversaria en la guerra en dos años.,23
NO,E,María iba en bicicleta.,María transportó una mochilera en la furgoneta durante un día.,23
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó la camioneta en el barrio en pocos instantes.,23
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,23
NO,E,El combate duró varias horas.,Paula abatió a la resistencia en el ring en pocos minutos.,23
SI,E,Había fuego en la plaza.,Carlos quemó a la página en la plaza en pocos minutos.,23
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,23
NO,E,La acción tuvo lugar en el parque.,Simón pateó a la jugadora en la cancha en un instante.,23
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,23
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,23
SI,A,Anna estaba en la escuela.,Anna comprendió a una maestra en la escuela en dos minutos.,23
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,23
SI,A,Valeria fue a un concierto.,Valeria admiró a la cantante en el teatro durante el concierto.,23
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió la invitada en la casa en un día.,23
NO,E,Carmen vio una representación teatral.,Carmen odió una vendedora en el cine durante la película.,23
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,23
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,23
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,23
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró la turista en el aeropuerto durante una hora.,23
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,23
SI,A,Helena estaba en un campo de fútbol.,Helena derribó a la barrera en el campo durante el partido.,23
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,23
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,23
SI,A,Helena estaba en el patio.,Helena colgó a la criminal en el patio en cinco minutos.,23
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,23
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó la oponente en el bar en diez minutos.,23
SI,A,La acción tuvo lugar en la calle.,Juan golpeó una actriz en la calle en diez segundos.,23
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,23
SI,A,Martin estaba en el hospital.,Martín buscó a una médica en el hospital durante dos horas.,23
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,23
SI,A,Isabel miraba por la ventana.,Isabel vió a una estudiante desde su ventana durante una mañana.,23
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,23
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,23
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó a una agresora en el aeropuerto en dos horas.,23
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,23
NO,E,Pedro observó durante unos minutos.,Pedro observó la planta en la oficina durante una hora.,23
SI,A,Emma pasó semanas investigando.,Emma investigó la empresaria en la ciudad durante varias semanas.,23
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,23
SI,A,Hubo un asedio en la región.,Carla asedió una contrincante en la región durante bastante tiempo.,23
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,23
SI,E,Felipe es presentador de teatro.,Felipe anunció a la actuación en el escenario en cinco minutos.,23
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,23
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,23
NO,E,Carmen vio una representación teatral.,Carmen odió la vendedora en el cine durante la película.,24
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,24
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,24
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,24
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,24
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó a una oponente en el bar en diez minutos.,24
SI,A,La acción tuvo lugar en la calle.,Juan golpeó la piedra en la calle en diez segundos.,24
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó a una futbolista en el campo durante el partido.,24
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,24
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,24
SI,A,Hubo un asedio en la región.,Carla asedió a la contrincante en la región durante bastante tiempo.,24
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,24
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,24
SI,E,Lo que Pedro hizo fue un secuestro.,Pablo secuestró a la turista en el aeropuerto durante una hora.,24
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,24
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió a la caja en la casa en un día.,24
NO,E,El beso tuvo lugar en un museo.,Francisco besó a una novia en la iglesia durante unos segundos.,24
SI,A,Isabel miraba por la ventana.,Isabel vió a la tormenta desde su ventana durante una mañana.,24
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,24
SI,A,Valeria fue a un concierto.,Valeria admiró una cantante en el teatro durante el concierto.,24
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,24
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,24
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,24
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,24
SI,E,Felipe es presentador de teatro.,Felipe anunció a una cantante en el escenario en cinco minutos.,24
NO,E,La guerra duró más de dos años.,Valentina venció a la adversaria en la guerra en dos años.,24
SI,A,Martin estaba en el hospital.,Martín buscó una médica en el hospital durante dos horas.,24
SI,A,Emma pasó semanas investigando.,Emma investigó la epidemia en la ciudad durante varias semanas.,24
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,24
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó a una agresora en el aeropuerto en dos horas.,24
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,24
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,24
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,24
NO,E,El combate duró varias horas.,Paula abatió a la contrincante en el ring en pocos minutos.,24
NO,E,María iba en bicicleta.,María transportó una mochilera en la furgoneta durante un día.,24
NO,E,Pedro observó durante unos minutos.,Pedro observó la secretaria en la oficina durante una hora.,24
SI,A,Había fuego en la plaza.,Carlos quemó a la bruja en la plaza en pocos minutos.,24
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,24
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó la camioneta en el barrio en pocos instantes.,24
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,24
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,24
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,24
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,24
NO,E,La acción tuvo lugar en el parque.,Simón pateó a la pelota en la cancha en un instante.,24
SI,A,Helena estaba en el patio.,Helena colgó a la fotografía en el patio en cinco minutos.,24
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,24
SI,A,Anna estaba en la escuela.,Anna comprendió a la maestra en la escuela en dos minutos.,24
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,24
SI,A,Hubo un asedio en la región.,Carla asedió la ciudad en la región durante bastante tiempo.,25
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,25
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,25
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó a una futbolista en el campo durante el partido.,25
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,25
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,25
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó la amenaza en el aeropuerto en dos horas.,25
SI,A,La acción tuvo lugar en la calle.,Juan golpeó la actriz en la calle en diez segundos.,25
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,25
NO,E,Pedro observó durante unos minutos.,Pedro observó la planta en la oficina durante una hora.,25
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,25
SI,E,Lo que Pedro hizo fue un secuestro.,Pablo secuestró la camioneta en el aeropuerto durante una hora.,25
SI,A,Isabel miraba por la ventana.,Isabel vió a la estudiante desde su ventana durante una mañana.,25
NO,E,El beso tuvo lugar en un museo.,Francisco besó una novia en la iglesia durante unos segundos.,25
SI,E,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,25
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,25
SI,A,Helena estaba en el patio.,Helena colgó a una criminal en el patio en cinco minutos.,25
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,25
SI,E,Había fuego en la plaza.,Carlos quemó la página en la plaza en pocos minutos.,25
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,25
NO,E,La guerra duró más de dos años.,Valentina venció a la adversaria en la guerra en dos años.,25
NO,E,María iba en bicicleta.,María transportó la mochilera en la furgoneta durante un día.,25
SI,A,Emma pasó semanas investigando.,Emma investigó a la empresaria en la ciudad durante varias semanas.,25
SI,A,Anna estaba en la escuela.,Anna comprendió una maestra en la escuela en dos minutos.,25
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,25
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,25
NO,E,El combate duró varias horas.,Paula abatió a la resistencia en el ring en pocos minutos.,25
NO,E,La acción tuvo lugar en el parque.,Simón pateó una jugadora en la cancha en un instante.,25
SI,A,Martin estaba en el hospital.,Martín buscó a la escalera en el hospital durante dos horas.,25
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió la invitada en la casa en un día.,25
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,25
NO,E,Carmen vio una representación teatral.,Carmen odió a la música en el cine durante la película.,25
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,25
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó a una oponente en el bar en diez minutos.,25
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,25
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,25
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,25
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,25
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó una conductora en el barrio en pocos instantes.,25
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,25
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,25
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,25
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,25
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,25
SI,E,Felipe es presentador de teatro.,Felipe anunció una cantante en el escenario en cinco minutos.,25
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,25
SI,E,Valeria fue a un concierto.,Valeria admiró a la escenografía en el teatro durante el concierto.,25
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,25
SI,E,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,26
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,26
SI,A,Anna estaba en la escuela.,Anna comprendió a la maestra en la escuela en dos minutos.,26
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,26
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,26
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,26
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,26
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,26
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,26
SI,A,Hubo un asedio en la región.,Carla asedió una contrincante en la región durante bastante tiempo.,26
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó a la oponente en el bar en diez minutos.,26
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,26
SI,A,Había fuego en la plaza.,Carlos quemó la página en la plaza en pocos minutos.,26
SI,A,Valeria fue a un concierto.,Valeria admiró a una cantante en el teatro durante el concierto.,26
NO,E,La guerra duró más de dos años.,Valentina venció a una adversaria en la guerra en dos años.,26
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,26
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,26
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,26
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,26
NO,E,El combate duró varias horas.,Paula abatió a una contrincante en el ring en pocos minutos.,26
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,26
SI,A,Emma pasó semanas investigando.,Emma investigó a la empresaria en la ciudad durante varias semanas.,26
NO,E,Pedro observó durante unos minutos.,Pedro observó la secretaria en la oficina durante una hora.,26
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,26
SI,A,Martin estaba en el hospital.,Martín buscó a la escalera en el hospital durante dos horas.,26
SI,A,Isabel miraba por la ventana.,Isabel vió a la estudiante desde su ventana durante una mañana.,26
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó la agresora en el aeropuerto en dos horas.,26
NO,E,Carmen vio una representación teatral.,Carmen odió a la música en el cine durante la película.,26
SI,A,Felipe es presentador de teatro.,Felipe anunció a la actuación en el escenario en cinco minutos.,26
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,26
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,26
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,26
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió a la invitada en la casa en un día.,26
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,26
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró a la camioneta en el aeropuerto durante una hora.,26
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,26
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,26
SI,A,Helena estaba en el patio.,Helena colgó a la criminal en el patio en cinco minutos.,26
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,26
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,26
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la actriz en la calle en diez segundos.,26
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó la futbolista en el campo durante el partido.,26
NO,E,La acción tuvo lugar en el parque.,Simón pateó la pelota en la cancha en un instante.,26
NO,E,María iba en bicicleta.,María transportó la mochilera en la furgoneta durante un día.,26
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,26
NO,E,El beso tuvo lugar en un museo.,Francisco besó la cruz en la iglesia durante unos segundos.,26
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,26
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó la conductora en el barrio en pocos instantes.,26
